FL_DATE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY
8/1/2018,CLT,DFW,1,-2
8/1/2018,ATL,PHL,-3,-10
8/1/2018,CLT,PVD,-1,19
8/1/2018,PVD,CLT,-1,10
8/1/2018,FLL,CLT,-7,1
8/1/2018,MIA,PHX,4,11
8/1/2018,MIA,DCA,-3,-11
8/1/2018,PHL,PIT,-4,3
8/1/2018,PIT,PHL,-4,-15
8/1/2018,PHL,CLE,10,14
8/1/2018,CLT,SAT,2,7
8/1/2018,SAT,PHX,1,4
8/1/2018,DCA,MIA,-5,-40
8/1/2018,JAX,PHL,-5,-14
8/1/2018,PHL,JAX,-5,-3
8/1/2018,LAX,IAH,-5,-13
8/1/2018,PHL,MCO,-4,-13
8/1/2018,ATL,CLT,-2,-2
8/1/2018,MCO,PHX,-2,-1
8/1/2018,DFW,MEM,18,10
8/1/2018,MEM,DFW,-7,-2
8/1/2018,PHL,LAX,-1,-7
8/1/2018,CLT,DTW,-5,-14
8/1/2018,DTW,CLT,-11,-17
8/1/2018,CLT,ILM,34,25
8/1/2018,CLT,TPA,3,39
8/1/2018,TPA,CLT,36,34
8/1/2018,BDL,CLT,-3,-7
8/1/2018,CLT,BDL,-2,-18
8/1/2018,CLT,JAX,105,101
8/1/2018,MCI,PHX,-7,-33
8/1/2018,DTW,PHL,-6,-16
8/1/2018,SAT,CLT,-10,-9
8/1/2018,DEN,CLT,-11,-18
8/1/2018,DFW,SEA,-2,2
8/1/2018,DFW,SEA,-4,4
8/1/2018,SEA,DFW,2,4
8/1/2018,LAX,MCO,9,39
8/1/2018,MCO,LAX,55,41
8/1/2018,DFW,SAN,-2,-2
8/1/2018,DFW,STL,33,31
8/1/2018,DFW,MKE,-5,-11
8/1/2018,MKE,DFW,-11,-20
8/1/2018,PHX,BOS,-4,12
8/1/2018,ORD,CLT,3,-1
8/1/2018,PHX,ORD,-4,-3
8/1/2018,PDX,DFW,2,-22
8/1/2018,DFW,ELP,-3,-10
8/1/2018,ELP,DFW,-3,-16
8/1/2018,SEA,JFK,-9,12
8/1/2018,ATL,DFW,0,-12
8/1/2018,DEN,ORD,-6,-9
8/1/2018,JFK,AUS,2,-12
8/1/2018,JFK,DCA,-4,16
8/1/2018,LAS,ORD,-4,-16
8/1/2018,LAX,ORD,13,16
8/1/2018,FLL,ORD,45,6
8/1/2018,ATL,DFW,-8,-2
8/1/2018,DFW,ATL,-3,-10
8/1/2018,DFW,SNA,0,-10
8/1/2018,DEN,ORD,-2,-10
8/1/2018,ORD,DEN,4,-14
8/1/2018,DFW,SEA,31,30
8/1/2018,SNA,DFW,-6,-7
8/1/2018,DFW,STL,-2,-2
8/1/2018,STL,DFW,-5,-23
8/1/2018,DFW,IAD,-1,2
8/1/2018,IAD,DFW,-8,27
8/1/2018,LAX,LAS,36,33
8/1/2018,ORD,LAX,51,47
8/1/2018,BNA,DFW,-5,-11
8/1/2018,COS,DFW,-2,6
8/1/2018,JAX,DFW,-7,-13
8/1/2018,DFW,IAH,-1,16
8/1/2018,DFW,MCO,8,-2
8/1/2018,SAT,DFW,9,11
8/1/2018,DEN,MIA,8,7
8/1/2018,MIA,DEN,13,32
8/1/2018,DFW,RSW,-5,10
8/1/2018,RSW,DFW,4,-12
8/1/2018,PHX,SMF,-6,-7
8/1/2018,SMF,ORD,-3,50
8/1/2018,MIA,ORD,9,53
8/1/2018,ONT,DFW,-2,0
8/1/2018,ORD,SFO,141,159
8/1/2018,CLT,BWI,85,84
8/1/2018,LAX,BOS,-6,-17
8/1/2018,ORD,ELP,46,39
8/1/2018,DFW,MSY,-4,-5
8/1/2018,MSY,DFW,-12,-22
8/1/2018,MIA,MCO,9,25
8/1/2018,BDL,ORD,-2,-7
8/1/2018,DFW,MSP,-4,12
8/1/2018,MIA,TPA,4,1
8/1/2018,TPA,MIA,10,-3
8/1/2018,MIA,DFW,-1,13
8/1/2018,LGA,MIA,61,59
8/1/2018,MIA,LGA,25,63
8/1/2018,COS,DFW,260,267
8/1/2018,DFW,LAX,-2,-9
8/1/2018,DFW,ORD,-2,-14
8/1/2018,JAC,ORD,182,176
8/1/2018,DFW,EWR,8,15
8/1/2018,DCA,ORD,-1,-25
8/1/2018,ORD,DCA,-4,-2
8/1/2018,MIA,DCA,0,-8
8/1/2018,MSP,ORD,-1,-5
8/1/2018,ORD,MSP,-4,-5
8/1/2018,DCA,DFW,-2,-6
8/1/2018,ORD,DCA,-4,-14
8/1/2018,STL,ORD,53,30
8/1/2018,SFO,DFW,-5,-16
8/1/2018,DFW,SLC,-2,-12
8/1/2018,SLC,PHX,-6,-16
8/1/2018,BNA,DFW,-4,14
8/1/2018,DFW,BNA,4,2
8/1/2018,DFW,STL,-2,-10
8/1/2018,DFW,LGA,2,-4
8/1/2018,ORD,SAT,70,69
8/1/2018,LAX,AUS,25,27
8/1/2018,DCA,ORD,143,129
8/1/2018,CLT,ORD,29,30
8/1/2018,DFW,IND,-4,-16
8/1/2018,IND,DFW,-11,-12
8/1/2018,SJC,DFW,-5,-9
8/1/2018,DTW,MIA,-2,-5
8/1/2018,ORD,BOS,80,90
8/1/2018,ORD,PBI,-4,-4
8/1/2018,PBI,ORD,-6,27
8/1/2018,MIA,DTW,38,36
8/1/2018,MCO,DFW,-10,7
8/1/2018,ORD,LAX,0,2
8/1/2018,IND,DFW,-8,-16
8/1/2018,ORD,DCA,-5,-12
8/1/2018,EWR,DFW,81,124
8/1/2018,PHX,SFO,-4,-13
8/1/2018,SFO,PHX,-8,-11
8/1/2018,ICT,DFW,-8,-19
8/1/2018,ORD,SJC,2,43
8/1/2018,MSP,PHX,-4,-28
